title,index,page,about,ingridients,preparation,nutrition per 100g of recipe,energy(kcal),fat(g),carbohydrates(g),proteins(g),fibre(g),vitamin A(mcg),iron(mg),zinc(mg),F_factor_est
Kaimati(Fried Dumplings),15003,24,"Kaimatis get their unique flavour from the style with which yeast is applied on wheat flour. This traditional
breakfast dish or day snack is common among the Swahili and Bajuni communities and was inherited from
Arab culture. It serves the whole family"," wheat flour, refined
water, vanilla essence, clear
cardamoms powder
yeast, cooking oil, sugar"," Put yeast in a small container.
 Add 50ml of warmed water.
 Add 4 tbsp. of sugar and allow to stand for 3 minutes.
 Meanwhile, warm the rest of the water in a cooking pot.
 Mix dry ingredients together; flour, cardamoms and vanilla
sence in a bowl.
 Add 1/4 cup (50 g) of oil into the mixture and rub in until finely
absorbed.
  Add the yeast preparation to the flour mixture, adding the
lukewarm water gradually while mixing to a semi-solid consistency.
  Cover with a dry towel/ cloth and allow to stand for 4 minutes
until the dough rises.
 In a pan put the rest of the oil and heat for 7 minutes or until
the oil bubbles when a pinch of dough is dropped in the oil.
 Shape the dough into round balls and put into the hot oil,
keep turning to cook evenly.
 Deep fry for 3-4 minutes.
 Remove from oil.","Energy 1,795 kJ/ 429 kcal | Fat 21.8 g | Carbohydrates 52.8 g | Protein 4.6 g | Fibre 1.6 g |
Vitamin A 30 mcg | Iron 2.1 mg | Zinc 0.45 mg",429,21.8,52.8,4.6,1.6,30,2.1,0.45,0.4
"Mahamri
(Swahili Doughnut)",15004,26,"This is a typical traditional recipe among the Swahilis. A true delicacy enjoyed by the entire family, serves
as a breakfast meal as well as a whole day snack. Mahamri has a unique taste influenced by the freshly
squeezed coconut milk.","wheat flour,
coconut milk
white sugar
dry yeast
cardamom
water
cooking oil","  Break the coconut shell, drain the water and grate the flesh.
  Squeeze the coconut milk from the grated coconut flesh
using a cloth.
  Set aside the thick coconut milk.
 Add 1/4 cup of warm water to squeeze out any remaining milk.
 In a bowl, mix a pinch of sugar with the yeast and add the 1/4
cup of water used to squeeze the last batch of coconut milk.
Stir and set aside for 5 minutes for the yeast to rise.
  In a separate bowl, mix the dry ingredients; sugar, flour and
cardamoms.
  Add the yeast mixture to the dry ingredients.
  Add 4 tablespoons of oil and the thick coconut milk into the
yeast and dry ingredients mixture.
  Knead the dough as you add the remaining water to a
firm feel.
  Set the dough aside for 10 minutes for sugar to dissolve.
Cover with a cloth.
  Knead the dough again to mix the sugar and to improve the
texture.
  Cover with a dry cloth and allow to stand for 30 minutes.
  Divide the dough into small-medium size balls. Set them
aside and cover with a dry cloth for 15 minutes.
  When well raised, roll out each ball into flat discs and cut
each into four triangle shaped portions.
  Heat the remaining oil for 15 minutes to 173?C.
  Fry the mahamri and turn after 40 seconds. The mahamri will
turn golden brown when ready.
  Remove the first batch of mahamri from oil and place onto
paper towels to drain the oil.
  Continue frying the rest in batches until all are done.
  Serve as desired","Energy 1,728 kJ/ 413 kcal | Fat 22.1 g | Carbohydrates 46.6 g | Protein 6 g | Fibre 2.1 g
Vitamin A 41 mg | Iron 2.8 mg | Zinc 0.56 mg",413,22.1,46.6,6,2.1,41,2.8,0.56,0.4
"Enriched Mandazi 
(East African Doughnuts, Enriched)",15124,28,"A popular snack among urban dwellers across the country, enriched mandazi is a doughnut made with
eggs plus fresh milk and conditioned with margarine; it is a favourite breakfast item for the entire family.","self-raising wheat flour
eggs
margarine
Rind from lemons sugar
 salt, iodized
cooking fat
cow milk
water","?  Put flour, salt, sugar and lemon rind into a bowl and
mix.
?  Mix all the water with the milk and warm.
?  Add margarine into the dry ingredients and rub in.
?  Add eggs onto the dry ingredients and mix.
?  Add the warm diluted milk into the bowl and knead the
mixture into a soft dough.
?  Cover the dough with a dump cloth for 40 minutes.
?  Heat all the cooking fat in a pot for 10 minutes or until
the oil bubbles when a pinch of dough is dropped in
the oil.
?  Roll out the dough into the desired thickness; about a 1/4 of an inch thick.
?  Cut the dough into preferred shapes.
?  Gently drop the cut-out pieces into the hot oil.
?  Fry one side until golden brown and turn.
?  Remove from oil and place onto paper towels to drain
any excess oil.
?  Repeat the process with the rest of the pieces.
?  Serve as desired.","Energy 1,590 kJ/ 379 kcal | Fat 16.1 g | Carbohydrates 49.9 g | Protein 7.6 g  | Fibre 2.2 g
Vitamin A 90 mcg  | Iron 3.3 mg | Zinc 0.66 mg",379,16.1,49.9,7.6,2.2,90,3.3,0.66,0.4
"Basic Mandazi 
(East African Doughnuts, Basic)",15125,30,"You will find this recipe in any home across Kenya. Preferred for its simplicity, it serves the entire family and
a choice item for breakfast.","all-purpose wheat flour
baking powder
sugar
cooking oil
water","?  Put the wheat flour into a bowl, add baking powder
and sugar.
?  Add 3 1/3 of cups water and mix properly to make soft
dough.
?  Add 4 tablespoons of cooking oil and continue kneading.
?  Cover and leave to stand for 40 minutes.
?  Roll out the dough and cut into desired shapes
?  Add the rest of the cooking oil into the pot/ deep frying pan and heat for 10 minutes (use a piece of dough
to test).
?  Carefully drop the cut-out pieces into the hot oil and
fry until golden brown.
?  Repeat the process for all the pieces.
?  Remove from oil, place on paper towel to drain any
excess oil.
?  Repeat the process with the rest of the pieces.
?  Serve with a hot beverage.","Energy 1,430kJ/ 340 kcal | Fat 12.9 g | Carbohydrates 48.7 g | Protein 6.4 g | Fibre 2.1 g
Vitamin A 48 mcg |  Iron 3.5 mg | Zinc 0.52 mg",340,12.9,48.7,6.4,2.1,48,3.5,0.52,0.4
"Meat Samosa
(Sambusa ya Nyama)",15025,32,"Nothing more delicious like the Kenyan meaty samosa! Mainly an urban dish, the meaty samosa serves as
a breakfast item and a whole day snack. It is enjoyed by the entire family","minced beef
coriander, fresh
leek
garlic
chilli pepper
wheat flour
salt
water
cooking oil","?  Put the meat in a pan over a fire. Stir continuously.
?  When the juices start oozing out from the meat, cover to cook.
?  Finely chop the leek, coriander and crash the garlic. Mix them
together in a bowl.
?  Add salt and chilli to the meat after about 10 minutes.
?  Continue stirring and crushing the meat to prevent it from
forming balls.
?  Cook the meat until it dries.
?  Add the leek, garlic and coriander after 4 minutes and stir.
?  Remove from the fire after 1 minute.
?  Let the meat cool before using it to fill the casings.
Samosa pocket preparation:
?  Put 2 1/2 cups flour in a bowl and add 1 cup cold
water. Mix into a medium soft dough.
?  Turn dough onto a flat surface and knead thoroughly until smooth.
?  Make a thick long roll, cut into 9 pieces and
make the pieces into small balls.
?  Roll out the balls, one at a time into desired
thickness.
?  Flour the surface, slightly oil the top of each
rolled-out ball and stack them on top of each
other. Continue until all the pieces are placed.
?  Stitch the edges by poking light holes.
?  Roll them out together to one large round piece.
?  Heat a shallow pan and toast the rolled dough
for 2 minutes per side. If the shallow pan is too
small, cut the rolled-out dough to fit.
?  Toast each side lightly, peeling off each layer
after toasting until all the 9 pieces are separated.
?  Cut triangular shapes on each separated piece;
fold each of the triangular pieces into an envelope and seal the edges with a preparation of
wheat flour paste. 
To make the paste:
?  The paste is used to seal the envelopes.
?  Mix 1/4 cup of water and 1/2 cup of flour to make a
thick paste.
?  Make the casings using the paste to bond and seal
the edges.
Filling the Samosa:
?  Spoon the cooled meat filling into the casings and
seal off the edges using the paste.
?  Do not overfill the casings to prevent it any tears or
rips on them.
Cooking:
?  Heat the remaining oil in a deep pan up to 170?C
or about 6 minutes or until the oil bubbles when a
pinch of dough is dropped in the oil.
?  Carefully, deep each samosa into the hot oil and
cook while turning until golden brown on both
sides.
?  Remove from the hot oil making sure to let any
excess oil drain back into the pan.
?  Place onto paper towels to drain any excess oil.
?  Repeat the process until all the samosas are
cooked.
?  Serve","Energy 1,854 kJ/ 443 kcal | Fat 22.2 g | Carbohydrates 40.5 g | Protein 18.8 g | Fibre 3.1 g
Vitamin A 66 mcg | Iron 11.5 mg | Zinc 2.99 mg",443,22.2,40.5,18.8,3.1,66,11.5,2.99,0.4
"Vegetable Samosa
(Sambusa ya Mboga)",15026,34,"This vegetarian samosa is made with vegetables in season and heavily spiced, giving it a deliciously great
taste! Loved for its health consciousness, the vegetable samosa serves as an all-time snack and mainly
enjoyed by the whole family.","cabbage
garlic
onions
carrots
ginger
garden peas
water
wheat flour
salt
green chilli
cooking oil","Preparation 1 hour | Cooking 1 hour 30 minutes |
Makes 23
Samosa filling preparation:
?  Wash and finely chop the cabbage.
?  Peel the carrots, wash and grate.
?  Peel the onion and chop.
?  Peel garlic and ginger, then wash and crush with a
mortar and pestle.
?  Wash peas and boil in 2 cups of water for 15 minutes.

?  In a pot, heat 4 tablespoons of oil for 2 minutes.
?  Add onions to cook for 12 minutes.
?  Add garlic, ginger and the green chilli. Cook for 3
minutes.
?  Add carrots, stir and cover to cook for 2 minutes.
?  Add cabbage, and stir. Cook for 1 minute.
?  Add salt, stir and cook for 1 minute.
?  Add peas and cook for 1 minute.
?  Remove from heat and let this cool before filling
the pockets.
Samosa pocket preparation:
?  Put 3 1/2 cups of wheat flour in a bowl and add 1
cup of cold water.
?  Mix the ingredients and knead to a soft dough.
?  Divide the dough and roll into medium-sized balls.
?  Lightly dust the rolling surface to prevent the
dough from sticking onto the working surface.
Flatten the balls and apply a little oil onto the
surface of each of the spread dough and stack
three pieces together (the oil will help the layers
to separate later).
?  Roll out each stack into thin discs.
?  Place a circular plate on the rolled-out dough
and trim the edges to form a circle the size of the
plate.
?  Place a pan on the fire on high heat for 1 minute.
?  Place the rolled-out dough onto the hot pan and
lightly cook each side for 1 minute.
?  Separate each lightly cooked layer (previously
placed on top of each other), place into a wide
bowl or plate and cover to prevent them from drying.
?  Spread the next batch of stacked discs and cook for
1 minute on each side.
To make the paste:
?  The paste is used to seal the envelopes as a bonding agent.
?  Mix 3/4 cup of wheat flour and 3/4 cup of water to
make a paste.
?  Make the casings using the paste to bond and seal
the edges.
?  Fold the layers previously covered into 2, cut into
half and then into quarters.
?  Take a quarter and fold it into a samosa case and
apply the paste to hold the edges together.
?  Repeat this for the rest of the batches.
Filling the Samosa:
?  ?  Take each piece and fill in the pocket in the
previously prepared vegetables.
?  ?  Use the wheat flour water paste to seal the
samosa case.
Cooking:
?  Put the remaining oil onto a pan and heat for 17
minutes or until the oil bubbles when a pinch of
dough is dropped in the oil.
?  Drop the samosa gently into the oil and cook each
side for 2 minutes until golden brown.
?  Remove from the oil and place over kitchen towels
to drain any excess oil.","Energy 1,361 kJ/ 325 kcal | Fat 13.1 g | Carbohydrates 40.2 g | Protein 8.5 g | Fibre 6.2 g
Vitamin A 138 mcg | Iron 3.8 mg | Zinc 1.76 mg",325,13.1,40.2,8.5,6.2,138,3.8,1.76,0.4
"Pancakes
(Chapati za Maji)",15027,36,This is a popular recipe among urban dwellers but also common across the country. It is loved for its simplicity and ease of preparation as a breakfast dish. Pancakes are eaten by the entire family.,"wheat flour
eggs
cow milk
sugar
water
cooking oil","Preparation 20 minutes | Cooking 30 minutes |
Makes 9
?  Put the wheat flour into a bowl.
?  Dissolve sugar into the milk then pour the sugar and
milk mixture into the flour.
?  Add all the water.
?  Start mixing the pancake batter either using an egg
whisk or wooden bowl.
?  Mix well until it comes to a smooth consistency.
?  Break eggs and add into the mixture in the bowl.
?  Continue mixing until everything is smooth and with
no lumps.
?  Put the frying pan onto the fire and let it heat for 2
minutes.
?  Pour batter into the frying pan.
?  Pour just enough for it to mould into the shape of
the pan.
?  Let the batter set on one side and then turn over
after 2 minutes.
?  Once you turn over, apply cooking oil onto the
pancake and spread.
?  Turnover and repeat the same procedure for the
other side.
?  Keep turning as needed until it cooks on both sides
(turns golden brown and is cooked on the inside).
?  Remove from the fire and place on paper towels on
a plate.
?  Repeat the process until all the batter is finished.
?  Serve.","Energy 1,136 kJ/ 270 kcal | Fat 8.5 g | Carbohydrates 39.2 g | Protein 8.3 g | Fibre 1.7 g
Vitamin A 77 mcg | Iron 2.9 mg | Zinc 0.83 mg",270,8.5,39.2,8.3,1.7,77,2.9,0.83,0.4
Drop Scones,15029,38,"Commonly referred to as Drops, these scones acquired their name from the way the butter is placed
on the pan during cooking. A very popular dish in the urban areas, drop scones are served as a breakfast
snack. They are enjoyed by the entire family.","wheat flour
eggs
cow milk
sugar, white
margarine
water
salt
cooking oil","Preparation 20 minutes | Cooking 30 minutes |
Makes 40
?  Put the wheat flour into a mixing bowl.
?  Rub in the margarine until fine.
?  Dissolve sugar into the milk and stir.
?  Add the sugar and milk mixture into the flour.
?  Stir then add all the water till it is smooth with no
lumps.
?  Break the eggs and add into the mixture.
?  Add a pinch of salt and 1 tablespoon cooking oil.
?  Continue stirring until it is evenly mixed, and it starts
to bubble.
?  The consistency of this mixture should be thicker than
that of pancake.
?  Heat the pan for 3 minutes.
?  Put a little cooking oil into the pan.
?  Pour a scoop at a time of the batter onto the pan until
the surface of the pan is covered by the batter.
?  Let the batter drops set on one side then turn.
?  Add a little oil and keep turning until the drops turn
golden brown.
?  Remove from fire and place on paper towels on a tray.
?  Repeat the process till all batter is finished,
?  Allow to cool and serve.","Energy 1,869 kJ/ 449 kcal | Fat 29.8 g | Carbohydrates 37.4 g | Protein 7.1 g | Fibre 1.4 g | Vitamin A 88 mcg | Iron 2.4 mg | Zinc 0.69 mg",449,29.8,37.4,7.1,1.4,88,2.4,0.69,0.4
"Qita
(Maize & Wheat Flour Pancake)",15042,40,"Qita commands respect among the Burji?s as a breakfast dish and an all-day snack. Uniquely prepared with
a mix of corn and wheat flour, Qita is deliciously spiced and is enjoyed by the entire family","wheat flour
maize flour
yeast
water
salt
butter
mixed spices
garlic ","Preparation 2 hours 30 minutes | Cooking 40 minutes | 
Serves 4
?  Measure wheat flour, maize flour, yeast, water and salt.
Mix the flours (wheat and maize) in a bowl and add the
salt.
?  Heat the water in a pan until warm. Add 1/4 cup of the
water into the yeast. Create a hole in the flour and pour
in the yeast mixture.
?  Mix properly using hands. Keep adding the rest of the
water to the flour gradually and mixing by hand.
?  Set aside to rise for 2 hours.
?  Melt the butter in a cooking pot. Add crushed garlic and
mixed spices.
?  Once they are evenly mixed, remove from the fire and
sieve to remove residue.
?  Add the butter preparation to the flour mixture and stir
until evenly mixed.
?  Heat a cooking pan for 4 minutes. Using a small soup
spoon, pour 2 scoops of the batter onto the heated pan.
?  Using your hands, spread it out into the desired thickness.
?  Cover the pan. After 3 minutes, it will have turned golden brown. Flip it over.
?  After 2 minutes, flip it over again.
?  Keep turning over until it hardens.
?  Add desired batter and spread. One piece takes 8 minutes to cook.
?  Again, pour 2 scoops onto the pan. Using the hands,
spread to desired size.
?  Repeat process until all the batter is used.","Energy 1,017 kJ/ 241 kcal | Fat 5.6 g | Carbohydrates 41.2 g | Protein 5.1 g | Fibre 2.8 g
Vitamin A 62 mcg Iron 2.8 mg | Zinc 1.81 mg",241,5.6,41.2,5.1,2.8,62,2.8,1.81,0.4
Mkate Kuta(Ngumu),15135,42,"This is a typical traditional recipe among the Kenyan Nubian?s. Mainly served as a breakfast snack, Mkate
Kuta was traditionally served on the wedding day to escort the bride. It is common to this day among the
Nubian?s as a snack for the entire family.","wheat flour
wheat flour
sugar
cooking oil
cardamom 
water","Preparation 20 minutes | Cooking 1 hour | Serves 4
?  Put the all-purpose flour and the self-rising flour
into a pot.
?  Heat 1 cup of oil in a cooking pot for 5 minutes.
?  Add heated oil into the flour mixture gradually.
?  Mix sugar and cardamom powder separately and
then add into the flour mixture and stir.
?  Heat the water for 4 minutes or until warm. Add all
the water gradually while kneading.
?  Knead the mixture to the desired consistency or
until a soft dough is achieved.
?  Cover the dough and set aside for 20 minutes to
allow the sugar to dissolve.
?  Knead the dough again for sugar to mix evenly.
?  Divide the dough into 2 balls.
?  Spread it out into at least 1-inch thickness, cut it
lengthways and later into small cubes.
?  Heat the remaining oil in a frying pan for 10 minutes or until hot.
?  Gently drop the pieces into the hot oil.
?  Cook until golden brown and turn.
?  Repeat this for all the pieces.
?  Remove from oil and place on paper towels to
drain the oil",The nutrient content of this dish could not be estimated due to missing yield factors.,0,0,0,0,0,0,0,0,0.4
